Ranking,University,Location,Tuition,Enrollment
#249,North Dakota State University,"Fargo, ND","$15,646
 (out-of-state)
$10,992
 (in-state)","10,096
 (fall 2022)"
#249,Northern Arizona University,"Flagstaff, AZ","$28,900
 (out-of-state)
$12,654
 (in-state)","23,207
 (fall 2022)"
#249,Pace University,"New York, NY","$51,424","8,223
 (fall 2022)"
#249,Sam Houston State University,"Huntsville, TX","$22,996
 (out-of-state)
$10,756
 (in-state)","18,235
 (fall 2022)"
#249,Suffolk University,"Boston, MA","$45,380","4,437
 (fall 2022)"
#249,Tennessee Tech University,"Cookeville, TN","$15,030
 (out-of-state)
$10,830
 (in-state)","8,537
 (fall 2022)"
#249,Union University,"Jackson, TN","$38,300","1,899
 (fall 2022)"
#249,University of Maine,"Orono, ME","$35,346
 (out-of-state)
$12,606
 (in-state)","9,774
 (fall 2022)"
#249,University of Wisconsin--La Crosse,"La Crosse, WI","$18,814
 (out-of-state)
$9,774
 (in-state)","9,352
 (fall 2022)"
#260,Central Michigan University,"Mount Pleasant, MI","$14,790
 (out-of-state)
$14,790
 (in-state)","10,421
 (fall 2022)"
#260,Gannon University,"Erie, PA","$36,676","2,991
 (fall 2022)"
#260,Gwynedd Mercy University,"Gwynedd Valley, PA","$38,310","1,412
 (fall 2022)"
#260,Loyola University New Orleans,"New Orleans, LA","$47,240","3,289
 (fall 2022)"
#260,Regis University,"Denver, CO","$43,980","2,398
 (fall 2022)"
#260,University of Missouri--St. Louis,"St. Louis, MO","$31,516
 (out-of-state)
$12,648
 (in-state)","12,431
 (fall 2022)"
#260,University of New England,"Biddeford, ME","$42,550","3,718
 (fall 2022)"
#260,University of North Texas,"Denton, TX","$24,644
 (out-of-state)
$12,044
 (in-state)","33,024
 (fall 2022)"
#260,Winston-Salem State University,"Winston-Salem, NC","$16,932
 (out-of-state)
$6,276
 (in-state)","4,726
 (fall 2022)"
#269,Florida Institute of Technology,"Melbourne, FL","$44,360","3,374
 (fall 2022)"
#269,George Fox University,"Newberg, OR","$40,940","2,534
 (fall 2022)"
#269,Lincoln Memorial University,"Harrogate, TN","$26,150","1,560
 (fall 2022)"
